team,conf,adjem,adjo,adjd,luck
Tennessee Martin,OVC,-8.10,106.1,114.2,.026
Eastern Washington,BSky,-8.11,96.3,104.4,-.032
Tennessee Tech,OVC,-8.17,99.9,108.1,-.086
Lehigh,Pat,-8.26,96.6,104.8,.025
Detroit,Horz,-8.32,100.7,109.0,-.061
Georgia St.,CAA,-8.47,98.3,106.8,-.016
Northwestern St.,Slnd,-8.60,98.5,107.1,.090
San Francisco,WCC,-8.63,99.1,107.7,-.042
VMI,BSth,-8.65,105.4,114.1,-.040
Western Illinois,Sum,-8.66,98.4,107.1,.006
Drexel,CAA,-8.68,90.8,99.4,.015
UMKC,Sum,-8.72,100.0,108.7,.011
San Jose St.,WAC,-8.83,97.9,106.7,.065
FIU,SB,-8.94,93.0,102.0,-.041
Texas St.,Slnd,-9.08,100.9,110.0,.015
Columbia,Ivy,-9.20,97.3,106.5,.028
Chicago St.,ind,-9.36,102.3,111.6,.028
Army,Pat,-9.47,89.3,98.8,.073
Colorado St.,MWC,-9.76,101.8,111.6,-.043
Northern Illinois,MAC,-9.81,96.9,106.7,-.015
Cal Poly,BW,-9.83,95.1,105.0,.057
Portland,WCC,-9.88,98.9,108.8,-.046
Louisiana Monroe,SB,-10.02,102.1,112.1,-.031
Arkansas St.,SB,-10.29,104.9,115.2,-.022
Stetson,ASun,-10.29,93.7,104.0,.069
Texas A&M Corpus Chris,Slnd,-10.42,96.7,107.1,.020
Centenary,Sum,-10.57,99.9,110.5,.014
South Dakota St.,Sum,-10.66,99.0,109.6,-.066
Delaware St.,MEAC,-11.16,101.3,112.5,.039
New Hampshire,AE,-11.35,97.2,108.5,-.050
Saint Peter's,MAAC,-11.42,94.8,106.2,-.050
Eastern Kentucky,OVC,-11.48,97.6,109.1,.026
Central Arkansas,Slnd,-11.66,94.2,105.8,.028
Harvard,Ivy,-11.73,99.7,111.5,-.095
Mercer,ASun,-11.85,97.6,109.5,-.046
UTSA,Slnd,-11.88,94.6,106.5,.063
SMU,CUSA,-12.04,95.0,107.0,.054
USC Upstate,ASun,-12.15,93.7,105.8,-.062
Savannah St.,ind,-12.29,88.1,100.4,.050
Coastal Carolina,BSth,-12.35,99.1,111.5,.097
Morehead St.,OVC,-12.64,95.3,107.9,.093
Campbell,ASun,-12.69,96.1,108.8,-.051
Penn,Ivy,-12.72,96.1,108.8,.078
Norfolk St.,MEAC,-13.04,97.0,110.0,.057
Furman,SC,-13.31,95.3,108.6,.006
Idaho,WAC,-13.40,96.3,109.7,-.004
Presbyterian,ind,-13.62,97.6,111.2,-.056
UC Riverside,BW,-13.65,93.7,107.3,.023
Idaho St.,BSky,-14.07,95.8,109.9,.092
St. Francis NY,NEC,-14.19,92.8,107.0,-.017
Radford,BSth,-14.36,95.9,110.2,.026
Coppin St.,MEAC,-14.41,92.4,106.8,.065
Samford,OVC,-14.41,96.9,111.4,.083
Stony Brook,AE,-14.60,92.5,107.1,-.076
Florida A&M,MEAC,-14.71,94.3,109.0,.075
Rice,CUSA,-14.74,86.7,101.5,-.002
Fairleigh Dickinson,NEC,-14.81,99.9,114.7,-.001
Long Beach St.,BW,-14.88,96.3,111.2,-.082
Canisius,MAAC,-15.08,95.0,110.1,-.065
Mississippi Valley St.,SWAC,-15.21,91.9,107.1,.115
Florida Gulf Coast,ASun,-15.29,94.5,109.8,.035
North Carolina A&T,MEAC,-15.38,96.1,111.5,.091
Monmouth,NEC,-15.45,93.0,108.5,-.023
Southeast Missouri St.,OVC,-15.56,96.1,111.7,.040
Kennesaw St.,ASun,-15.60,94.4,110.0,.000
Princeton,Ivy,-15.68,93.2,108.9,-.039
Dartmouth,Ivy,-15.91,92.4,108.3,-.000
Southern,SWAC,-16.09,90.0,106.1,-.026
Jackson St.,SWAC,-16.17,93.0,109.2,.040
Charleston Southern,BSth,-16.55,99.1,115.6,.004
South Carolina St.,MEAC,-16.61,95.5,112.1,.057
Alabama A&M,SWAC,-16.72,89.4,106.2,.012
St. Francis PA,NEC,-17.22,97.1,114.3,-.036
Cal St. Bakersfield,ind,-17.31,96.7,114.0,-.004
UC Davis,BW,-17.65,97.9,115.6,.012
Maine,AE,-17.82,92.6,110.4,-.034
Winston Salem St.,ind,-18.20,89.7,107.9,.009
Bethune Cookman,MEAC,-18.40,92.1,110.5,-.010
Eastern Illinois,OVC,-18.41,95.7,114.1,-.024
Jacksonville St.,OVC,-18.47,97.4,115.8,-.081
Longwood,ind,-18.61,97.9,116.5,-.009
Louisiana Tech,WAC,-19.10,93.3,112.4,-.003
Arkansas Pine Bluff,SWAC,-19.61,87.7,107.3,.025
The Citadel,SC,-20.95,94.9,115.9,-.023
Prairie View A&M,SWAC,-21.82,89.8,111.6,-.014
Loyola Marymount,WCC,-22.33,91.2,113.6,.066
Sacramento St.,BSky,-22.44,90.0,112.4,.001
North Carolina Central,ind,-23.17,85.3,108.5,.032
Texas Southern,SWAC,-23.21,88.3,111.5,.001
Howard,MEAC,-23.29,85.9,109.2,-.027
North Florida,ASun,-23.54,86.3,109.9,-.061
Grambling St.,SWAC,-24.32,90.9,115.2,.019
Alcorn St.,SWAC,-24.83,93.5,118.3,.018
Maryland Eastern Shore,MEAC,-28.29,86.1,114.4,-.004
NJIT,ind,-32.79,77.2,110.0,-.025
