date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,lineashby,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/13/2016,James Madison,70,Rice,94,6.5,10.99,9.07,8.11,9.32,8.7,11.96,6.5,10.44,16,3.08,15.33,11.9,0,,8.04,,,,,,,12,,,
11/13/2016,Kentucky,93,Canisius,69,30,28.04,28.66,28.43,28.72,28.56,29.73,28.5,29.43,32,2.37,28.75,22.5,0,,22.69,,,,,,,28.93,,,
11/13/2016,Michigan,77,IUPUI,65,17.5,19.33,20.18,21.36,19.84,20.77,27.6,19.5,17.56,18,3.21,19.91,15.3,0,,15.73,,,,,,,16.37,,,
11/13/2016,Missouri,99,Alabama A&M,44,18,17.84,19.31,18.44,19.9,18.49,24.54,18,19.53,21,2.88,17.99,13,0,,7.4,,,,,,,16.63,,,
11/13/2016,Nebraska,83,CS Sacramento,61,17,16.22,15.03,13.78,15.89,13.79,18.78,15,18.3,20,2.22,18.21,15.3,0,,11.92,,,,,,,17.41,,,
11/13/2016,North Carolina,97,Chattanooga,57,15.5,19.93,17.46,16.78,17,18.23,22.75,16.5,18.63,23,2.75,23.01,21.4,0,,17.74,,,,,,,23.18,,,
11/13/2016,Oregon St.,72,Texas San Antonio,64,17.5,20.58,18.48,20.47,17.38,20.51,18.78,17.5,18.7,22,2.62,25.54,22.9,0,,14.02,,,,,,,27.57,,,
11/13/2016,Penn St.,82,Duquesne,74,10,7.34,7.06,4.63,7.55,6.29,11.72,9,9.35,8,2.21,5.49,5,0,,8.84,,,,,,,6.86,,,
11/13/2016,Rutgers,87,Drexel,66,10.5,2.99,3.95,4.41,3.87,4.09,-4.03,8,7.81,3,3.54,2.44,-0.3,0,,4.37,,,,,,,3.33,,,
11/13/2016,SIU Edwardsville,77,Florida Atlantic,68,-4.5,0.18,1.38,3.2,1.19,1.72,-1.3,-2.5,0.02,0.01,1.63,-0.48,-0.4,1,,-3.11,,,,,,,-0.2,,,
11/13/2016,SMU,91,Eastern Michigan,64,13.5,14.58,13.17,13.67,13.03,13.47,16.42,11,16.77,18,2.48,18.74,15.3,0,,7.76,,,,,,,14.09,,,
11/13/2016,SW Missouri St.,91,Jacksonville St.,65,9.5,9.88,11.67,9,12.07,11.08,14.25,9,8.31,5,2.52,9.59,10.9,0,,9.44,,,,,,,7.33,,,
11/13/2016,Santa Clara,61,Tennessee St.,69,-1.5,1.92,0.81,-0.09,-0.35,2.69,3.91,1.5,2.86,-2,1.83,2.3,-0.2,0,,10.96,,,,,,,0.26,,,
11/13/2016,Seton Hall,82,Central Conn. St.,58,29,30.14,27.62,27.14,27.3,28.19,31.2,30,30.57,33,2.97,36.56,31.4,0,,21.98,,,,,,,36.53,,,
11/13/2016,Siena,89,Cornell,78,14.5,11.15,10.08,10.99,9.85,10.47,15.47,14.5,10.69,13,1.91,11.44,11.9,0,,10.09,,,,,,,8.62,,,
