"date","home","hscore","road","rscore","line","lineavg","linesag","linesage","linesagp","linepom","linemoore","linemass","linegreen","linedunk","lineargh","linesauce","linemarkov","linerpi"
"12/01/2003","Florida St.",71,"Northwestern",53,14.5,14.15,10.60,7.72,14.38,18.05,18.59,15.57,".",".",".",".",".","."
"12/01/2003","Marquette",71,"Notre Dame",58,5.0,6.57,6.36,6.37,6.46,6.40,9.27,4.55,".",".",".",".",".","."
"12/01/2003","Colorado",81,"Oregon St.",66,18.0,18.83,17.81,18.51,17.20,18.75,23.19,17.51,".",".",".",".",".","."
"12/01/2003","New Mexico",71,"Portland",77,7.5,8.81,7.46,6.09,8.88,9.52,14.17,6.76,".",".",".",".",".","."
"12/01/2003","SMU",62,"Texas Tech",59,-6.0,-7.72,-7.29,-8.68,-6.00,-10.09,-6.17,-8.08,".",".",".",".",".","."
"12/02/2003","Boise St.",69,"BYU",75,-3.5,-0.75,4.17,8.62,-1.84,-3.87,-3.84,-7.73,".",".",".",".",".","."
"12/02/2003","George Mason",76,"East Carolina",65,6.5,7.66,9.37,12.03,6.65,7.64,2.65,7.62,".",".",".",".",".","."
"12/02/2003","Fairfield",69,"Fordham",72,11.0,14.39,12.80,14.02,11.83,16.29,14.45,16.95,".",".",".",".",".","."
"12/02/2003","St. John's",64,"Hofstra",81,8.0,7.51,2.03,1.37,2.71,5.12,22.40,11.43,".",".",".",".",".","."
"12/02/2003","Tennessee Tech",".","Idaho St.",".",10.0,12.14,12.91,12.79,13.54,9.42,13.65,10.51,".",".",".",".",".","."
"12/02/2003","North Carolina",88,"Illinois",81,2.5,0.75,4.11,4.63,3.43,-2.52,-2.10,-3.03,".",".",".",".",".","."
"12/02/2003","Eastern Illinois",60,"Illinois-Chicago",77,-9.0,-2.69,-0.99,0.12,-2.08,-2.48,-6.26,-4.43,".",".",".",".",".","."
"12/02/2003","Wake Forest",100,"Indiana",67,13.0,11.77,9.28,6.34,12.13,15.26,12.47,15.14,".",".",".",".",".","."
"12/02/2003","Eastern Michigan",74,"Kent St.",83,-4.0,-5.07,-5.53,-11.00,-2.06,-7.08,-3.08,-1.64,".",".",".",".",".","."
