date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/9/2018,East Carolina,72,James Madison,73,-4,0.21,1.73,1.93,1.85,1.15,-4.59,-2.5,1.09,-1,2.32,5.1,-0.1,0,-1.7,-0.64,,,,,1.18,,1.32,-2.52,,-1.6
11/9/2018,Eastern Michigan,66,Drexel,62,13.5,10.54,10.22,9.65,10.26,10.19,13.05,12.5,7.44,10,2.79,10.25,8.5,0,5.9,11.57,,,,,11.88,,8.49,17.87,,12.8
11/9/2018,Elon,67,North Carolina,116,-17.5,-17.99,-16.4,-12.42,-16.57,-16.77,-16.05,-17.5,-16.1,-20,4.41,-17.07,-14.4,0,-23.3,-14.81,,,,,-19.51,,-18.25,-30.97,,-17.3
11/9/2018,Florida,76,Charleston Southern,46,21,20.95,19.85,15.72,19.89,21.09,22.39,20,21,21,3.03,19.67,16.2,0,19.9,20.35,,,,,21.89,,24.12,28.49,,22.7
11/9/2018,George Mason,75,American,78,9.5,12.14,13.36,9.16,13.71,12.95,12.1,9.5,10.21,11,3.46,15.22,12.2,0,5.6,8.12,,,,,13.66,,11.52,20.95,,12.4
11/9/2018,Georgia,110,Savannah St.,76,24.5,23.93,22.9,23,22.58,24.45,33.4,24.5,20.48,23,4.46,21.78,20.5,0,14.1,24.03,,,,,26.83,,25.47,30.63,,25.8
11/9/2018,Georgia Tech,88,Lamar,69,12.5,13.7,15.06,14.09,15.13,15,23.5,12.5,13.97,12,3.59,13.25,11.5,0,16.9,8.82,,,,,13.81,,13.24,8.36,,10.9
11/9/2018,Harvard,71,Northeastern,81,2.5,3.86,6.01,11.49,5.67,6.14,1.37,0,3.44,4,2.9,4.37,-0.2,0,1.7,3.49,,,,,5.45,,0.7,2.2,,2
11/9/2018,Hawaii,82,Portland,64,7,8.14,9.49,8.98,9.53,9.46,3.93,6,9.58,8,2.48,6.13,9,0,2.3,10.16,,,,,7.37,,6.79,11.59,,9.8
11/9/2018,Hofstra,79,Mount St. Marys,61,14,15.05,18.38,15.57,19.22,16.35,26.19,14,11.62,12,4.96,11.7,10.1,0,14.3,17.04,,,,,15.97,,8.89,7.56,,20.9
11/9/2018,Indiana,80,Montana St.,35,26.5,25.92,28.31,28.76,29.22,25.11,19.52,25.5,25.15,27,3.99,26.45,20.3,0,33.1,22.23,,,,,28.15,,19.34,27.97,,28.2
11/9/2018,Iona,72,Albany-NY,68,7.5,6.26,6.22,5.97,6.23,6.2,8.54,7.5,4.53,8,3.51,4.22,4.3,0,0.5,14.63,,,,,7.49,,3.89,1.93,,11.2
11/9/2018,Iowa St.,76,Missouri,59,6.5,4.47,7.42,6.13,7.65,6.68,7.01,7,6.53,2,3.6,2.82,0.3,0,-1.1,6.79,,,,,5.92,,2.38,-2.73,,9.3
11/9/2018,Kansas St.,56,Kennesaw St.,41,28.5,27.47,29.58,27.45,29.74,29.46,33.97,28.5,23.36,24,4.18,25.77,21.7,0,22.1,23.23,,,,,26.72,,28.78,35.51,,30.7
11/9/2018,Kentucky,71,Southern Illinois,59,18,15.12,12.58,10.43,12.25,15.11,6.57,14.5,17.27,21,5.08,9.08,17.5,0,17.8,13.29,,,,,13.76,,17.7,27.42,,15.1
